accept_stat__,stepsize__,int_time__,energy__,lp__
1,2.91681,29.1681,7.11713,-1.92425
0.988252,3.48587,34.8587,7.16551,-7.07025
0.018115,1.65343,16.5343,10.081,-9.27274
1,1.99869,19.9869,5.34092,-5.07771
0.776713,1.95344,19.5344,5.53521,-4.96773
1,2.35989,23.5989,4.84691,-4.49863
1,2.84972,28.4972,4.59565,-3.58586
0.38001,1.9125,19.125,5.00603,-4.8979
1,2.30903,23.0903,3.97981,-2.79364
0.860035,2.44149,24.4149,3.54874,-3.48337
0.746534,2.31906,23.1906,5.18692,-3.80332
1,2.79755,27.9755,3.49026,-3.25011
1,3.37335,33.7335,2.64619,-1.82529
0.496696,2.53276,25.3276,3.73817,-2.98145
1,3.05315,30.5315,3.12831,-3.11066
1,3.67895,36.7895,1.68032,-1.6045
0.722845,3.41738,34.1738,1.84402,-1.81697
0.774067,3.33091,33.3091,3.49164,-1.86123
0.487263,2.48288,24.8288,7.77615,-4.02218
1,2.99004,29.9004,5.16096,-2.8633
0.992707,3.57493,35.7493,5.19961,-4.1202
0.0845128,1.83222,18.3222,6.94177,-4.31005
0.989594,2.18461,21.8461,5.36067,-4.54435
1,2.6291,26.291,1.66497,-1.28029
0.851674,2.75555,27.5555,2.04613,-1.43482
1,3.31406,33.1406,1.42049,-1.11739
0.800675,3.31187,33.1187,2.37511,-1.57754
0.455575,2.40417,24.0417,2.03427,-1.79356
1,2.89018,28.9018,1.82616,-1.71881
1,3.47307,34.7307,1.11064,-1.10345
1,4.1719,41.719,1.71451,-1.06138
0.00268524,1.99667,19.9667,5.82626,-4.61555
1,2.39891,23.9891,1.31395,-1.05493
0.9612,2.77999,27.7999,1.3394,-1.15983
1,3.33758,33.3758,1.16423,-1.1416
0.971622,3.90241,39.0241,2.93392,-1.15447
0.0343778,1.93043,19.3043,7.34903,-5.69397
1,2.31718,23.1718,1.97781,-1.73997
1,2.78034,27.8034,1.93589,-1.36038
0.848292,2.90279,29.0279,3.69129,-1.78645
0.611631,2.44113,24.4113,4.12133,-3.90006
1,2.92726,29.2726,4.30609,-1.57536
0.225304,1.7315,17.315,7.11937,-5.76364
1,2.07627,20.7627,1.71235,-1.33086
0.964275,2.40917,24.0917,1.88488,-1.52824
0.958107,2.77895,27.7895,6.07141,-1.62978
0.228979,1.65295,16.5295,6.97647,-6.54854
1,1.9807,19.807,2.29131,-1.81169
0.957772,2.28348,22.8348,4.43687,-2.27507
1,2.73433,27.3433,3.55714,-3.49916
0.90513,3.00393,30.0393,2.96508,-2.70921
1,3.59471,35.9471,2.95342,-2.66894
1,4.3001,43.001,2.98526,-2.51063
1,5.14205,51.4205,2.99122,-2.1579
0.00352239,2.50557,25.0557,7.77926,-7.51686
1,2.99671,29.9671,3.32005,-2.31251
0.894157,3.25773,32.5773,3.25108,-2.97635
