"","cor","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"37",1,"stan",1,0.8,"diag",1.09863002668899,4,0.023,0.042,493.652062882451,1000,1000,863.589930524693,0.999064309848409,1.00037984698523,0.999348916431596,11753.6205448203,"mvnd"
"38",1,"tmb",1,0.8,"diag",1.05716082622537,4,0.770020008087158,1.39700317382812,324.192475983948,1000,1000,268.047493160291,0.999003644927305,0.999508822565771,0.999181201585053,232.062805623829,"mvnd"
"39",1,"admb",1,0.8,"diag",1.0786,4,NA,0.27000000000001,274.138818238341,298.891518862041,1000,264.885432833301,0.99901799607387,1.00324964199002,1.00032625749306,1015.32895643826,"mvnd"
"40",1,"admb.rwm",1,0.8,"diag",NA,4,NA,0.219999999999999,470.292242034708,601.195047105644,1000,488.69905419981,0.9992555029234,1.00063309604242,0.999500060780218,2137.69200924869,"mvnd"
"41",1,"stan",2,0.8,"diag",0.941283378916026,4,0.037,0.074,418.718092003887,1000,1000,531.53242749742,0.999063110169414,1.00181311525096,1.00068792100985,5658.35259464713,"mvnd"
"42",1,"tmb",2,0.8,"diag",1.01841193735126,4,0.870593070983887,1.72508311271667,404.884670930329,1000,1000,362.414653365767,0.999000034837989,1.00110176498748,0.999056749464607,234.704442902298,"mvnd"
"43",1,"admb",2,0.8,"diag",1.09151,4,NA,0.29000000000002,293.190982168351,358.124792145004,1000,272.594482560665,0.999024595631752,1.01600209557108,0.999521728371769,1011.00338678735,"mvnd"
"44",1,"admb.rwm",2,0.8,"diag",NA,4,NA,0.239999999999981,574.423884561,621.482832932545,1000,590.234675131471,0.999012147677259,1.00421711170495,1.00000226320603,2393.43285233769,"mvnd"
"45",1,"stan",3,0.8,"diag",1.23228102944511,4,0.024,0.042,466.796383733358,1000,1000,412.470091860801,0.999261112174302,0.999663283605187,0.999329822167148,11114.199612699,"mvnd"
"46",1,"tmb",3,0.8,"diag",1.01632284237566,4,0.835951805114746,1.49292182922363,317.131078767653,1000,1000,324.377598022624,0.999003106693849,0.99974338298861,0.999035087295862,212.423097150754,"mvnd"
"47",1,"admb",3,0.8,"diag",1.05522,4,NA,0.280000000000001,303.827799631554,431.791251068027,1000,316.999184437665,0.999435814266511,1.01132012622221,1.00016586602929,1085.0992843984,"mvnd"
"48",1,"admb.rwm",3,0.8,"diag",NA,4,NA,0.219999999999999,454.512776317951,537.780266485912,1000,528.456685115983,0.999162636410118,1.00392509058288,1.00018490916225,2065.96716508161,"mvnd"
"49",0,"stan",1,0.8,"diag",0.966631244193016,8,0.065,0.094,528.274792734206,1000,1000,521.537456469554,0.999009412468994,1.00207516004611,0.999390434429817,5619.94460355538,"mvnd"
