"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
10,"tmbstan",3,0.8,"diag",0.788921457043927,5,0.062,0.156,551.575746836584,1000,1000,565.943695489205,0.999000000922814,1.00169576707007,0.999297521495488,3535.74196690118,"zdiag",4418.93410581148,609.317180062919,4630.34721202365,3535.74196690118,4879.30003229743
14,"tmbstan",4,0.8,"diag",0.739554050172049,5,0.079,0.125,594.714627090965,1000,1000,594.907436448173,0.998999515939606,1.00424002341632,0.999651798544374,4757.71701672772,"zdiag",4418.93410581148,609.317180062919,4630.34721202365,3535.74196690118,4879.30003229743
4,"admb",1,0.9,"diag",0.130881,66,NA,43.11,219.789695267917,1000,1000,261.758709846335,0.998999502432446,1.00501463928711,0.999229084481342,5.09834598162647,"growth",3.66008947463291,0.978929842157905,3.3103138378561,2.92138424119297,5.09834598162647
8,"admb",2,0.9,"diag",0.141446,66,NA,52.71,179.194933987694,1000,1000,195.626598122112,0.998999694747878,1.00908519159451,0.999259051750396,3.39963828472196,"growth",3.66008947463291,0.978929842157905,3.3103138378561,2.92138424119297,5.09834598162647
12,"admb",3,0.9,"diag",0.159422,66,NA,64.02,206.207740811195,1000,1000,229.441967026652,0.999000144975825,1.00859830209118,0.999533398694313,3.22098939099024,"growth",3.66008947463291,0.978929842157905,3.3103138378561,2.92138424119297,5.09834598162647
16,"admb",4,0.9,"diag",0.170706,66,NA,50.23,146.741130435123,1000,1000,180.576123287436,0.999000124476168,1.00319383930976,0.99936999218912,2.92138424119297,"growth",3.66008947463291,0.978929842157905,3.3103138378561,2.92138424119297,5.09834598162647
4,"admb",1,0.8,"diag",0.633037,50,NA,1.03,234.772459681668,1000,1000,251.286177002968,0.998999966547567,1.00214708702756,0.999292442465058,227.934426875405,"iidz",167.234686517877,45.4353021640894,161.573446452672,117.857426290759,227.934426875405
8,"admb",2,0.8,"diag",0.623516,50,NA,1.56999999999999,185.03615927649,1000,1000,219.623825896379,0.99899950228338,1.00608310845355,0.999210377164338,117.857426290759,"iidz",167.234686517877,45.4353021640894,161.573446452672,117.857426290759,227.934426875405
12,"admb",3,0.8,"diag",0.628392,50,NA,1.38999999999999,227.079121216215,1000,1000,208.555594743,0.998999501717055,1.00727653356293,0.999186356831717,163.366274256272,"iidz",167.234686517877,45.4353021640894,161.573446452672,117.857426290759,227.934426875405
16,"admb",4,0.8,"diag",0.624303,50,NA,1.53,244.464346533081,1000,1000,240.220693622697,0.999002776145364,1.00216714406372,0.999184891937972,159.780618649073,"iidz",167.234686517877,45.4353021640894,161.573446452672,117.857426290759,227.934426875405
