"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","max_treedepths","ndivergent","nsteps.mean","nsteps.median","nsteps.sd","metric","model","cor"
"87","stan.nuts",78362,50,1000,0.851247023772224,0.8,0.58199798930212,0,0,7,7,0,"diag_e","mvnd",0
"88","tmb.nuts",78362,50,1000,0.806923746749912,0.8,0.632551770448734,0,0,7.599,7,7.36684017520969,"diag_e","mvnd",0
"89","stan.nuts",61413,50,1000,0.828889478228408,0.8,0.624104724546357,0,0,7,7,0,"diag_e","mvnd",0
"90","tmb.nuts",61413,50,1000,0.806411327051561,0.8,0.629421638648816,0,0,7.6,7,8.6473920169232,"diag_e","mvnd",0
"91","stan.nuts",59189,50,1000,0.831534422114359,0.8,0.476985307263756,0,0,8.412,7,3.03306041078239,"diag_e","mvnd",1
"92","tmb.nuts",59189,50,1000,0.802772572682346,0.8,6.82252021945679,0,0,8.097,7,2.94260436692229,"diag_e","mvnd",1
"93","stan.nuts",33032,50,1000,0.858136099518894,0.8,0.45315850697004,0,0,9.724,7,3.78657657550487,"diag_e","mvnd",1
"94","tmb.nuts",33032,50,1000,0.803344724189203,0.8,6.8928272055916,0,0,7.92,7,2.87641041376821,"diag_e","mvnd",1
"95","stan.nuts",19139,50,1000,0.862275054936191,0.8,0.452581540798763,0,0,9.744,7,3.79537466778563,"diag_e","mvnd",1
"96","tmb.nuts",19139,50,1000,0.803336011838769,0.8,7.11446494210599,0,0,7.987,7,2.99605059362818,"diag_e","mvnd",1
"97","stan.nuts",78362,50,1000,0.842708564137806,0.8,0.467908149408547,0,0,9.408,7,3.66264261851344,"diag_e","mvnd",1
"98","tmb.nuts",78362,50,1000,0.797916511094227,0.8,7.13963984141385,0,0,7.981,7,2.7747952617035,"diag_e","mvnd",1
"99","stan.nuts",61413,50,1000,0.85138890038698,0.8,0.456566484338155,0,0,9.532,7,3.7162866932984,"diag_e","mvnd",1
"100","tmb.nuts",61413,50,1000,0.800066859182644,0.8,6.96789155097977,0,0,7.942,7,3.07267907181,"diag_e","mvnd",1
"101","stan.nuts",59189,100,1000,0.870295487860311,0.8,0.450939264124849,0,0,7.16,7,1.12056042035031,"diag_e","mvnd",0
