"","platform","seed","delta.target","metric","eps.final","Npar","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","samples.per.time","time.total","model","cor"
"37","stan.nuts",59189,0.8,"diag_e",0.528779988271081,50,1.87,1764.09468447915,5000,5000,1838.05518884062,0.999800133776939,1.00036777660467,0.99984194863592,943.366141432699,1.87,"mvnd",0
"38","tmb.nuts",59189,0.8,"diag_e",0.651583767755405,50,14.12,847.89776733863,5000,5000,911.55314919653,0.999799980229453,1.00018487523961,0.999829183820934,60.0494169503279,14.12,"mvnd",0
"39","stan.nuts",33032,0.8,"diag_e",0.677104845007665,50,1.86000000000001,2057.42867405647,3238.06800667771,5000,2087.6079947176,0.999800006046208,1.00205238879685,0.999873669229434,1106.14444841745,1.86000000000001,"mvnd",0
"40","tmb.nuts",33032,0.8,"diag_e",0.647177059011972,50,14.36,905.675694020486,5000,5000,1059.65696020979,0.999800100363089,1.00051109660288,0.999843745431264,63.0693380237106,14.36,"mvnd",0
"41","stan.nuts",19139,0.8,"diag_e",0.671928659771333,50,1.83999999999997,2211.92447266243,3478.54690729847,5000,2223.37533171879,0.999800270078437,1.00177288535981,0.99997305333535,1202.13286557742,1.83999999999997,"mvnd",0
"42","tmb.nuts",19139,0.8,"diag_e",0.66512693315786,50,15.34,1072.8363736973,5000,5000,1037.38815497508,0.999799981404749,1.00061676209544,0.999853521075192,69.9371821184678,15.34,"mvnd",0
"43","stan.nuts",59189,0.8,"diag_e",0.473839465373558,50,2.27999999999997,2155.99227563689,5000,5000,2086.63111007635,0.999799984637147,1.00065723148664,0.99986345326585,945.610647209175,2.27999999999997,"mvnd",1
"44","tmb.nuts",59189,0.8,"diag_e",11.3021681239383,50,22.52,1264.40657369225,5000,5000,1361.52210209042,0.99979998494848,1.00038319207198,0.999828357119718,56.1459402172401,22.52,"mvnd",1
"45","stan.nuts",33032,0.8,"diag_e",0.534571428733676,50,2.34000000000003,1892.4391399681,5000,5000,1964.56433980105,0.999800105965308,1.00125680240087,0.999883607198617,808.734675200031,2.34000000000003,"mvnd",1
"46","tmb.nuts",33032,0.8,"diag_e",11.3556572638803,50,22.6,1370.69090572247,5000,5000,1343.21419582087,0.999800117448925,1.00029123625499,0.999851893167228,60.6500400762155,22.6,"mvnd",1
"47","stan.nuts",19139,0.8,"diag_e",0.522617522089643,50,2.25,1819.45357124213,5000,5000,1846.3494847676,0.999799989917455,1.00052713125997,0.999843856857909,808.64603166317,2.25,"mvnd",1
"48","tmb.nuts",19139,0.8,"diag_e",11.3039206539277,50,22.46,1120.43067727117,5000,5000,1310.41456603696,0.999799987936779,1.00212350704816,0.999862654404912,49.8856045089565,22.46,"mvnd",1
"49","stan.nuts",59189,0.8,"diag_e",0.547930662695067,100,7.41000000000003,1664.10631390144,5000,5000,1619.00655068349,0.999799994096645,1.00135115275182,0.999845616188679,224.575750863892,7.41000000000003,"mvnd",0
"50","tmb.nuts",59189,0.8,"diag_e",0.523321875284524,100,16.45,1165.21292079288,5000,5000,1024.8902148796,0.999799983218886,1.00090028161346,0.999878266068059,70.833612206254,16.45,"mvnd",0
"51","stan.nuts",33032,0.8,"diag_e",0.467067111399229,100,7.29999999999995,2013.73536317963,5000,5000,2213.33909795222,0.999800008128415,1.00072502823137,0.999853122061661,275.854159339676,7.29999999999995,"mvnd",0
"52","tmb.nuts",33032,0.8,"diag_e",0.553874525967796,100,15.9699999999999,1028.09976177152,5000,5000,1094.76504688418,0.999799980065247,1.00080227718936,0.999873127809642,64.3769418767391,15.9699999999999,"mvnd",0
"53","stan.nuts",19139,0.8,"diag_e",0.475576348789797,100,7.41999999999996,1986.38685757116,5000,5000,2211.18956797667,0.999800008452246,1.00098853050748,0.999855422092489,267.707123661883,7.41999999999996,"mvnd",0
"54","tmb.nuts",19139,0.8,"diag_e",0.522575859682776,100,16.5400000000001,1296.1087527715,5000,5000,1221.32076821696,0.999799980934774,1.00071265590984,0.999847652725294,78.3620769511182,16.5400000000001,"mvnd",0
"55","stan.nuts",59189,0.8,"diag_e",0.375677924070553,100,15.2800000000001,2264.18625774143,3822.47146962577,5000,2306.71461523877,0.999800084846348,1.00182367086045,0.999967362295601,148.179728909779,15.2800000000001,"mvnd",1
